document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
0029bdbe75423337b551e42bb31f9a102785376f,train,Who is Arabella Manson?,Miss Delma house guest,She's Percival's mother,Who is Arabella Manson ?,Miss Delma house guest,She s Percival s mother
0029bdbe75423337b551e42bb31f9a102785376f,train,Who was Percival Kneene?,Arabella and Been son,Ben and Arabella's son,Who was Percival Kneene ?,Arabella and Been son,Ben and Arabella s son
0029bdbe75423337b551e42bb31f9a102785376f,train,Who was Minnie?,A Heiress,Daughter  to the dutch merchant,Who was Minnie ?,A Heiress,Daughter to the dutch merchant
00ee9e01a0e581e0d8cbf7e865a895147c480c5e,train,Who is Kaylo?,A transvestite that helps Chelios find Alex.,A transvestite,Who is Kaylo ?,A transvestite that helps Chelios find Alex .,A transvestite
00f9dbb0a851bc6099d5216e5fa8719b2ac3b82b,train,Who is jealous of Ebby?,Crash,Crash,Who is jealous of Ebby ?,Crash,Crash
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Krag an acquaintance of?,Nightspore,Nightspore.,Who is Krag an acquaintance of ?,Nightspore,Nightspore .
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Krag to Maskull?,A acquaintance of his friend Nightspore.,An acquaintance ,Who is Krag to Maskull ?,A acquaintance of his friend Nightspore .,An acquaintance
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Nightspore?,Maskull,maskull,Who is Nightspore ?,Maskull,maskull
015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who is Shinzon a clone of?,Picard.,Picard,Who is Shinzon a clone of ?,Picard .,Picard
015c99b411cef291d31cd5543c7ae957edebe6b4,train,Who is Shinzon a clone of?,Captain Picard.,Picard,Who is Shinzon a clone of ?,Captain Picard .,Picard
019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Who is Jacob to Lisbeth?,He is her brother. ,Her brother,Who is Jacob to Lisbeth ?,He is her brother .,Her brother
01a4a870914fd148e2fd4e55ccbc9a3595f6bab6,train,Who was pregnant with Jim Morrison's child?,Patricia Kenneally,Patricia.,Who was pregnant with Jim Morrison s child ?,Patricia Kenneally,Patricia .
01a4a870914fd148e2fd4e55ccbc9a3595f6bab6,train,Who is Pamela Courson to Jim?,Jim's girlfriend. ,Girlfriend,Who is Pamela Courson to Jim ?,Jim s girlfriend .,Girlfriend
01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,train,Who is Emily St. Aubert?,Emily St Aubert is a young french woman who became orphaned after her father died.,A french orphan.,Who is Emily St. Aubert ?,Emily St Aubert is a young french woman who became orphaned after her father died .,A french orphan .
0269408ac78193a0e13f1033bec6f658b00437b3,test,Who is Zeus' illegitimate son?,Filmore,Filmore,Who is Zeus ' illegitimate son ?,Filmore,Filmore
0269408ac78193a0e13f1033bec6f658b00437b3,test,Who is Zeus's illegitimate daughter?,Marie-Noel,Marie-Noel,Who is Zeus s illegitimate daughter ?,Marie-Noel,Marie-Noel
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who is Jason Allison?,Dr. Jay Allison's other personality,Dr. Jay Allison's secondary personality,Who is Jason Allison ?,Dr. Jay Allison s other personality,Dr. Jay Allison s secondary personality
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who is Jason Allison?,Dr. Jay Allison's secondary personality,Second personality.,Who is Jason Allison ?,Dr. Jay Allison s secondary personality,Second personality .
03690ff2154ebecb454ea267cec529358ab6923b,test,Who is Mrs. Baines to Sophia and Constance?,Their mother.,Their mother.,Who is Mrs. Baines to Sophia and Constance ?,Their mother .,Their mother .
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who is Isidore Beautrelet?,A young amateur detective.,A gifted high school detective.,Who is Isidore Beautrelet ?,A young amateur detective .,A gifted high school detective .
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who is Louis Valmeras?,Arsene Lupin.,Arsene Lupin,Who is Louis Valmeras ?,Arsene Lupin .,Arsene Lupin
042bb7019f583cebe3290795149fdc70412ad813,valid,Who is Sophia?,Sophia is Nadia's real name.,Sophia is a criminal posing as a mail-order bride named Nadia.,Who is Sophia ?,Sophia is Nadia s real name .,Sophia is a criminal posing as a mail-order bride named Nadia .
0434145d9284423a36a714fc55246ed0bdc39a82,train,WHO IS CATHERINE TO MARTY?,HIS AUNT,His aunt,WHO IS CATHERINE TO MARTY ?,HIS AUNT,His aunt
04954299c7b6bdc7b31b951bc0daa277353576a9,test,Who is Dragon?,the farmer's cat,A cat.,Who is Dragon ?,the farmer s cat,A cat .
04dc9134485dee27252734f24c2a3b3dd397b8a4,train,Who is Marge?,The Brainerd police chief,Brainerd police chief,Who is Marge ?,The Brainerd police chief,Brainerd police chief
04ef491311759e1e853f9c7fc7e8c946c6eab31b,test,Who is Jake?,Bianca and Bernard's guide and protector,a hopping mouse who works for RAS,Who is Jake ?,Bianca and Bernard s guide and protector,a hopping mouse who works for RAS
050f88f6c8fed44ecbd7658b0f450fb705ce368d,train,Who is Li Mu Bai?,A Wudang swordsman.,An accomplished Wudang swordsman.,Who is Li Mu Bai ?,A Wudang swordsman .,An accomplished Wudang swordsman .
050f88f6c8fed44ecbd7658b0f450fb705ce368d,train,Who is Lo to Jen?,He is a bandit who loves her.,Her love.,Who is Lo to Jen ?,He is a bandit who loves her .,Her love .
05f1a40c41101a714a3ace0359d4a550d908742e,train,Who is Milton Rogers?,A former partner of Silas.,Silas Lapham's former business partner. ,Who is Milton Rogers ?,A former partner of Silas .,Silas Lapham s former business partner .
05f1a40c41101a714a3ace0359d4a550d908742e,train,Who is Milton K. Rogers?,Silas Lapham's ex-business partner,Silas Lapham's business partner.,Who is Milton K. Rogers ?,Silas Lapham s ex-business partner,Silas Lapham s business partner .
0619e886fb3167a3d70f4d191754a82b3f9ecf7f,train,Who is Ridd?,The son of a mudered farmer.,john son of respectable farmer.,Who is Ridd ?,The son of a mudered farmer .,john son of respectable farmer .
061c5dd1dc117e3161f1f0a7794b807932ef4675,train,Who was Barbara Drummond?,Barbara Drummond was a patient's daughter,"a patients daughter, that came with her father from mexico for his treatmant.",Who was Barbara Drummond ?,Barbara Drummond was a patient s daughter,"a patients daughter , that came with her father from mexico for his treatmant ."
069ba0ceb78ef8fe8a193b7b4f225938f2044f0c,test,Who is Simon Phoenix?,A psychopathic career criminal,A psychopathic career criminal.,Who is Simon Phoenix ?,A psychopathic career criminal,A psychopathic career criminal .
069ba0ceb78ef8fe8a193b7b4f225938f2044f0c,test,Who is John Spartan?,An LAPD sargeant,An LAPD Sergant,Who is John Spartan ?,An LAPD sargeant,An LAPD Sergant
07115dadb9d1831d9a0951dd1c392587dfcae9df,train,Who is secretly one of the Helpers?,Julia.,Julia,Who is secretly one of the Helpers ?,Julia .,Julia
076acafe2eb72ccf6e894bbb4b8b318f4cf3c58d,train,Who was Ross's source?,Neal Daniels,Neil Daniels,Who was Ross s source ?,Neal Daniels,Neil Daniels
08373775c3d82d8bbf4ff286a3a0076a3627c652,valid,"Who is abusive to ""del""?",Percy,Percy Wetmore,Who is abusive to del ?,Percy,Percy Wetmore
08373775c3d82d8bbf4ff286a3a0076a3627c652,valid,Who is Percy a nephew of?,Louisiana's First Lady.,Louisiana's First Lady.,Who is Percy a nephew of ?,Louisiana s First Lady .,Louisiana s First Lady .
084e3e9625f032d6fc7454e94841a6045a0454e8,train,Who is Imar's twin-sister?,Marva,Marva.,Who is Imar s twin-sister ?,Marva,Marva .
084e3e9625f032d6fc7454e94841a6045a0454e8,train,Who is Marva?,Queen of Ossets,Queen of the Ossets.,Who is Marva ?,Queen of Ossets,Queen of the Ossets .
08c3429e9717bc663bc5f41cd3a2c701c222ed2f,test,Who was Lucinda?,Lucinda was a doll,a doll,Who was Lucinda ?,Lucinda was a doll,a doll
08c3429e9717bc663bc5f41cd3a2c701c222ed2f,test,Who was Jane? ,Lucinda cook,A DOLL THAT IS SUPPOSE TO BE THE COOK DOLL,Who was Jane ?,Lucinda cook,A DOLL THAT IS SUPPOSE TO BE THE COOK DOLL
09333c7d604bd412e6aef5d3e56b046ed301c5e5,test,Who is Morton?,He is an inspector,He is a police inspector called in to arrest Smith,Who is Morton ?,He is an inspector,He is a police inspector called in to arrest Smith
0a133d2f741f023f11260893729c5dc63f9ef89a,train,Who is Newt?,The only known survivor of the colony.,A liitle girl.,Who is Newt ?,The only known survivor of the colony .,A liitle girl .
0ac0e7c55534399855675cf41872ae6c5a8a32dd,valid,Who is Tito Melema?,A shipwrecked stranger and a young Italianate-Greek scholar.,An Italianate-Greek scholar ,Who is Tito Melema ?,A shipwrecked stranger and a young Italianate-Greek scholar .,An Italianate-Greek scholar
0ac0e7c55534399855675cf41872ae6c5a8a32dd,valid,Who is Baldassarre?,Tito's adoptive father.,Tito's adopted father,Who is Baldassarre ?,Tito s adoptive father .,Tito s adopted father
0b5d946ecfbdeb6629ae3f8cd42f4c499892e4ce,train,Who is Theodore de Summervieux?,An artist.,An artist ,Who is Theodore de Summervieux ?,An artist .,An artist
0b5d946ecfbdeb6629ae3f8cd42f4c499892e4ce,train,Who is Madame Rogiun?,Augustine's younger cousin. ,Madame Guillaume's younger cousin.,Who is Madame Rogiun ?,Augustine s younger cousin .,Madame Guillaume s younger cousin .
0bae1f959cf453f77d465ab3d7de58735c3cea38,train,Who is Duke Mitchell in relation to Maverick?,His father.,His father,Who is Duke Mitchell in relation to Maverick ?,His father .,His father
0bb7c49bd644d0a4c0ea9fd6239e84c07013a811,train,Who is a civil war veteran?,Lighnin' Bill is a civil war veteran.,Lightnin' Bill Jones,Who is a civil war veteran ?,Lighnin ' Bill is a civil war veteran .,Lightnin ' Bill Jones
0bc7352d6a0e678c0d8acc57c0c1cc3466fe9ef7,train,Who is Keisha?,Lucky's daughter,Lucky's daughter,Who is Keisha ?,Lucky s daughter,Lucky s daughter
0bc7352d6a0e678c0d8acc57c0c1cc3466fe9ef7,train,Who is Keisha?,Lucky's daughter,Lucky's daughter,Who is Keisha ?,Lucky s daughter,Lucky s daughter
0bd270c8c46f84a4abd99d65e2f17a9e11a7f76d,test,Who was George Shapiro to Andy Kaufman?,his talent agent,his agent,Who was George Shapiro to Andy Kaufman ?,his talent agent,his agent
0bd270c8c46f84a4abd99d65e2f17a9e11a7f76d,test,Who was Tony Clifton?,Andy Kaufman in disguise.,a villain character that was created by Haufman,Who was Tony Clifton ?,Andy Kaufman in disguise .,a villain character that was created by Haufman
0bec3c185ffe7f716108fce8bd4a1558d4cd4a54,train,Who is Billy's sisters boyfriend?,Andy,Andy,Who is Billy s sisters boyfriend ?,Andy,Andy
0c1274df8299049d4959ef8a1ea23a6a68e26f6e,test,Who is Holly?,Stanley Jobsonâs daughter,Stanley and Melissa's daughter.,Who is Holly ?,Stanley Jobsonâs daughter,Stanley and Melissa s daughter .
