document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized,question_span_grounded,question_linenum,answer_span_grounded,answer_linenum
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Nightspore?,Maskull,maskull,Who is Nightspore ?,Maskull,maskull,Nightspore,796,Maskull,797
019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Who is Jacob to Lisbeth?,He is her brother. ,Her brother,Who is Jacob to Lisbeth ?,He is her brother .,Her brother,Lisbeth,1681,Jacob,1687
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who is Jason Allison?,Dr. Jay Allison's other personality,Dr. Jay Allison's secondary personality,Who is Jason Allison ?,Dr. Jay Allison s other personality,Dr. Jay Allison s secondary personality,Jason,3203,Jay,254
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who is Jason Allison?,Dr. Jay Allison's secondary personality,Second personality.,Who is Jason Allison ?,Dr. Jay Allison s secondary personality,Second personality .,Jason,595,Jay,254
03690ff2154ebecb454ea267cec529358ab6923b,test,Who is Mrs. Baines to Sophia and Constance?,Their mother.,Their mother.,Who is Mrs. Baines to Sophia and Constance ?,Their mother .,Their mother .,Baines,144,mother,579
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who is Isidore Beautrelet?,A young amateur detective.,A gifted high school detective.,Who is Isidore Beautrelet ?,A young amateur detective .,A gifted high school detective .,Isidore Beautrelet,1287,detective,1289
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who is Louis Valmeras?,Arsene Lupin.,Arsene Lupin,Who is Louis Valmeras ?,Arsene Lupin .,Arsene Lupin,Louis,5249,Lupin,7817
042bb7019f583cebe3290795149fdc70412ad813,valid,Who is Sophia?,Sophia is Nadia's real name.,Sophia is a criminal posing as a mail-order bride named Nadia.,Who is Sophia ?,Sophia is Nadia s real name .,Sophia is a criminal posing as a mail-order bride named Nadia .,Sophia,4753,Nadia,417
0434145d9284423a36a714fc55246ed0bdc39a82,train,WHO IS CATHERINE TO MARTY?,HIS AUNT,His aunt,WHO IS CATHERINE TO MARTY ?,HIS AUNT,His aunt,Catherine,651,Marty,4305
04dc9134485dee27252734f24c2a3b3dd397b8a4,train,Who is Marge?,The Brainerd police chief,Brainerd police chief,Who is Marge ?,The Brainerd police chief,Brainerd police chief,Marge,1928,Chief,2123
