document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized,question_span_grounded,question_linenum,answer_span_grounded,answer_linenum,mention1,mention1_globalpos,mention1_chapterpos,mention1_chapterindex,mention2,mention2_globalpos,mention2_chapterpos,mention2_chapterindex
014de1a8802c05ff64efa047e9290fb7fccea2b4,test,Who is Nightspore?,Maskull,maskull,Who is Nightspore ?,Maskull,maskull,Nightspore,796,Maskull,797,Nightspore,33518:33528,7514:7524,22,Maskull,33647:33654,7643:7650,22
019a9611dd8e1b822bd0a58f075cc4a30bdd0797,test,Who is Jacob to Lisbeth?,He is her brother. ,Her brother,Who is Jacob to Lisbeth ?,He is her brother .,Her brother,Lisbeth,1681,Jacob,1687,Lisbeth,81382:81389,13704:13711,5,Jacob,81829:81834,14151:14156,5
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who is Jason Allison?,Dr. Jay Allison's other personality,Dr. Jay Allison's secondary personality,Who is Jason Allison ?,Dr. Jay Allison s other personality,Dr. Jay Allison s secondary personality,Jason,3203,Jay,254,Jason,154989:154994,10681:10686,3,Jay,9463:9466,9463:9466,0
02ec0dda4d6b545c8a180b4e66108f32acc7fefa,train,Who is Jason Allison?,Dr. Jay Allison's secondary personality,Second personality.,Who is Jason Allison ?,Dr. Jay Allison s secondary personality,Second personality .,Jason,595,Jay,254,Jason,25695:25700,25695:25700,0,Jay,9463:9466,9463:9466,0
03690ff2154ebecb454ea267cec529358ab6923b,test,Who is Mrs. Baines to Sophia and Constance?,Their mother.,Their mother.,Who is Mrs. Baines to Sophia and Constance ?,Their mother .,Their mother .,Baines,144,mother,579,Baines,7015:7021,7015:7021,0,mother,28102:28108,16742:16748,1
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who is Isidore Beautrelet?,A young amateur detective.,A gifted high school detective.,Who is Isidore Beautrelet ?,A young amateur detective .,A gifted high school detective .,Isidore Beautrelet,1287,detective,1289,Isidore Beautrelet,49690:49708,8457:8475,10,detective,49851:49860,8618:8627,10
03a048c35b81d8a422e0efd0d5de016b63659869,train,Who is Louis Valmeras?,Arsene Lupin.,Arsene Lupin,Who is Louis Valmeras ?,Arsene Lupin .,Arsene Lupin,Louis,5249,Lupin,7817,Louis,219098:219103,20302:20307,14,Lupin,329691:329696,2888:2893,18
042bb7019f583cebe3290795149fdc70412ad813,valid,Who is Sophia?,Sophia is Nadia's real name.,Sophia is a criminal posing as a mail-order bride named Nadia.,Who is Sophia ?,Sophia is Nadia s real name .,Sophia is a criminal posing as a mail-order bride named Nadia .,Sophia,4753,Nadia,417,Sophia,179923:179929,8847:8853,4,Nadia,15840:15845,15840:15845,0
0434145d9284423a36a714fc55246ed0bdc39a82,train,WHO IS CATHERINE TO MARTY?,HIS AUNT,His aunt,WHO IS CATHERINE TO MARTY ?,HIS AUNT,His aunt,Catherine,651,Marty,4305,Catherine,26351:26360,5678:5687,1,Marty,187508:187513,44337:44342,3
04dc9134485dee27252734f24c2a3b3dd397b8a4,train,Who is Marge?,The Brainerd police chief,Brainerd police chief,Who is Marge ?,The Brainerd police chief,Brainerd police chief,Marge,1928,Chief,2123,Marge,42493:42498,42493:42498,0,Chief,46265:46270,46265:46270,0
04ef491311759e1e853f9c7fc7e8c946c6eab31b,test,Who is Jake?,Bianca and Bernard's guide and protector,a hopping mouse who works for RAS,Who is Jake ?,Bianca and Bernard s guide and protector,a hopping mouse who works for RAS,Jake,866,guide,1088,Jake,31794:31798,31794:31798,0,guide,39094:39099,638:643,1
050f88f6c8fed44ecbd7658b0f450fb705ce368d,train,Who is Li Mu Bai?,A Wudang swordsman.,An accomplished Wudang swordsman.,Who is Li Mu Bai ?,A Wudang swordsman .,An accomplished Wudang swordsman .,Li Mu Bai,493,swordsman,1695,Li Mu Bai,12143:12152,12143:12152,0,swordsman,37856:37865,21452:21461,1
050f88f6c8fed44ecbd7658b0f450fb705ce368d,train,Who is Lo to Jen?,He is a bandit who loves her.,Her love.,Who is Lo to Jen ?,He is a bandit who loves her .,Her love .,JEN,534,bandit,2338,JEN,13065:13068,13065:13068,0,bandit,52479:52485,36075:36081,1
08373775c3d82d8bbf4ff286a3a0076a3627c652,valid,Who is Percy a nephew of?,Louisiana's First Lady.,Louisiana's First Lady.,Who is Percy a nephew of ?,Louisiana s First Lady .,Louisiana s First Lady .,nephew,1316,she,1331,nephew,52795:52801,42733:42739,1,she,53489:53492,43427:43430,1
084e3e9625f032d6fc7454e94841a6045a0454e8,train,Who is Imar's twin-sister?,Marva,Marva.,Who is Imar s twin-sister ?,Marva,Marva .,Imar,7254,Marva,7381,Imar,397798:397802,8094:8098,21,Marva,405250:405255,6967:6972,22
084e3e9625f032d6fc7454e94841a6045a0454e8,train,Who is Marva?,Queen of Ossets,Queen of the Ossets.,Who is Marva ?,Queen of Ossets,Queen of the Ossets .,Marva,8459,Ossets,4943,Marva,469041:469046,6874:6879,25,Ossets,267199:267205,26611:26617,13
08c3429e9717bc663bc5f41cd3a2c701c222ed2f,test,Who was Lucinda?,Lucinda was a doll,a doll,Who was Lucinda ?,Lucinda was a doll,a doll,Lucinda,96,doll,92,Lucinda,1775:1782,1775:1782,0,doll,1627:1631,1627:1631,0
08c3429e9717bc663bc5f41cd3a2c701c222ed2f,test,Who was Jane? ,Lucinda cook,A DOLL THAT IS SUPPOSE TO BE THE COOK DOLL,Who was Jane ?,Lucinda cook,A DOLL THAT IS SUPPOSE TO BE THE COOK DOLL,Jane,99,Cook,99,Jane,1856:1860,1856:1860,0,Cook,1869:1873,1869:1873,0
09333c7d604bd412e6aef5d3e56b046ed301c5e5,test,Who is Morton?,He is an inspector,He is a police inspector called in to arrest Smith,Who is Morton ?,He is an inspector,He is a police inspector called in to arrest Smith,Morton,367,Inspector,699,Morton,15750:15756,15750:15756,0,Inspector,28487:28496,28487:28496,0
0a133d2f741f023f11260893729c5dc63f9ef89a,train,Who is Newt?,The only known survivor of the colony.,A liitle girl.,Who is Newt ?,The only known survivor of the colony .,A liitle girl .,NEWT,953,survivor,274,NEWT,35814:35818,17091:17095,1,survivor,9038:9046,9038:9046,0
0ac0e7c55534399855675cf41872ae6c5a8a32dd,valid,Who is Tito Melema?,A shipwrecked stranger and a young Italianate-Greek scholar.,An Italianate-Greek scholar ,Who is Tito Melema ?,A shipwrecked stranger and a young Italianate-Greek scholar .,An Italianate-Greek scholar,Tito Melema,1642,scholar,20946,Tito Melema,90159:90170,1872:1883,64,scholar,1162859:1162866,6732:6739,125
0ac0e7c55534399855675cf41872ae6c5a8a32dd,valid,Who is Baldassarre?,Tito's adoptive father.,Tito's adopted father,Who is Baldassarre ?,Tito s adoptive father .,Tito s adopted father,Baldassarre,21546,father,2415,Baldassarre,1196030:1196041,12481:12492,127,father,135093:135099,6014:6020,66
0b5d946ecfbdeb6629ae3f8cd42f4c499892e4ce,train,Who is Theodore de Summervieux?,An artist.,An artist ,Who is Theodore de Summervieux ?,An artist .,An artist,Theodore,719,artist,110,Theodore,43755:43763,43755:43763,0,artist,4559:4565,4559:4565,0
0b5d946ecfbdeb6629ae3f8cd42f4c499892e4ce,train,Who is Madame Rogiun?,Augustine's younger cousin. ,Madame Guillaume's younger cousin.,Who is Madame Rogiun ?,Augustine s younger cousin .,Madame Guillaume s younger cousin .,Madame,332,cousin,1127,Madame,18957:18963,18957:18963,0,cousin,66278:66284,15129:15135,1
0bae1f959cf453f77d465ab3d7de58735c3cea38,train,Who is Duke Mitchell in relation to Maverick?,His father.,His father,Who is Duke Mitchell in relation to Maverick ?,His father .,His father,MITCHELL,312,father,5518,MITCHELL,10410:10418,1611:1619,5,father,144942:144948,299:305,85
0bb7c49bd644d0a4c0ea9fd6239e84c07013a811,train,Who is a civil war veteran?,Lighnin' Bill is a civil war veteran.,Lightnin' Bill Jones,Who is a civil war veteran ?,Lighnin ' Bill is a civil war veteran .,Lightnin ' Bill Jones,veteran,3657,Bill Jones,4530,veteran,169989:169996,1777:1784,13,Bill Jones,215020:215030,23924:23934,15
0bc7352d6a0e678c0d8acc57c0c1cc3466fe9ef7,train,Who is Keisha?,Lucky's daughter,Lucky's daughter,Who is Keisha ?,Lucky s daughter,Lucky s daughter,Keisha,702,daughter,739,Keisha,24996:25002,24996:25002,0,daughter,26118:26126,26118:26126,0
0bd270c8c46f84a4abd99d65e2f17a9e11a7f76d,test,Who was Tony Clifton?,Andy Kaufman in disguise.,a villain character that was created by Haufman,Who was Tony Clifton ?,Andy Kaufman in disguise .,a villain character that was created by Haufman,Tony Clifton,945,Kaufman,7297,Tony Clifton,24775:24787,24775:24787,0,Kaufman,165517:165524,110218:110225,1
0bec3c185ffe7f716108fce8bd4a1558d4cd4a54,train,Who is Billy's sisters boyfriend?,Andy,Andy,Who is Billy s sisters boyfriend ?,Andy,Andy,boyfriend,3815,Andy,5008,boyfriend,119695:119704,18174:18183,1,Andy,154137:154141,52616:52620,1
0c1274df8299049d4959ef8a1ea23a6a68e26f6e,test,Who is Holly?,Stanley Jobsonâs daughter,Stanley and Melissa's daughter.,Who is Holly ?,Stanley Jobsonâs daughter,Stanley and Melissa s daughter .,Holly,1223,daughter,1246,Holly,40740:40745,744:749,20,daughter,41513:41521,1517:1525,20
0cd690f600881ef37a4e36ca79e378c733636c30,test,Who is Zuleika's grandfather?,The Warden of Judas College,The Warden of Judas College.,Who is Zuleika s grandfather ?,The Warden of Judas College,The Warden of Judas College .,Zuleika,113,Warden,8402,Zuleika,3756:3763,2213:2220,1,Warden,437510:437516,106702:106708,2
